"PlayerName","PlayerPosition","Team","eMIN","eFG","eFT","eThrPM","eREB","eAST","eSTL","eBLK","eTO","ePTS","FGA2014","FTA2014"
"Jeff Ayres","PF,C","SA",381,0.578947368421053,0.75,0,2.29411764705882,0.274509803921569,0.156862745098039,0.156862745098039,0.509803921568627,2.68627450980392,1.86274509803922,0.705882352941177
"Henry Walker","SG,SF","MIA",627,0.345238095238095,0.777777777777778,1.875,3.41666666666667,1.20833333333333,1,0.375,1,7.29166666666667,7,0.75
"Louis Amundson","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mitch McGary","PF,C","OKC",24.2,0.538,0.629,0,7.5,0.7,0.8,0.8,1.5,9,5.15625,1.25
"Kendrick Perkins","C","NOR",9,0.8,0.506024096385542,0,2.66666666666667,0.666666666666667,0,0,0,5.33333333333333,3.28985507246377,1.20289855072464
"Chris Copeland","SF,PF","MIL",10,0.379310344827586,1,1,0.857142857142857,0.571428571428571,0.142857142857143,0,0.428571428571429,4.57142857142857,6.2,0.9
"Kostas Papanikolaou","SF,PF","DEN",5.33333333333333,1,0.722222222222222,0.333333333333333,1.33333333333333,0.333333333333333,0.333333333333333,0,0,1.66666666666667,4.58139534883721,0.418604651162791
"Ben Gordon","SG","GS",789,0.43728813559322,0.835820895522388,0.625,1.125,0.892857142857143,0.25,0.0178571428571429,0.982142857142857,6.23214285714286,5.26785714285714,1.19642857142857
"Andrew Nicholson","PF","ORL",4,0,0.6,0,1,0,0,0,1,0,4.75,0.625
"James Anderson","SG,SF","SAC",10.8571428571429,0.28,0.857142857142857,0.714285714285714,0.857142857142857,0.714285714285714,0.571428571428571,0.142857142857143,0.857142857142857,3.57142857142857,3.57142857142857,1
"Lorenzo Brown","PG","MIN",549,0.426229508196721,0.631578947368421,0.206896551724138,2.41379310344828,3.10344827586207,0.96551724137931,0.206896551724138,1.03448275862069,4.20689655172414,4.20689655172414,0.655172413793103
"Furkan Aldemir","PF","PHI",541,0.512820512820513,0.481481481481481,0,4.29268292682927,0.682926829268293,0.414634146341463,0.390243902439024,0.414634146341463,2.26829268292683,1.90243902439024,0.658536585365854
"Jimmer Fredette","PG,SG","SA",509,0.379518072289157,0.955555555555556,0.18,0.8,1.16,0.3,0.04,0.66,3.56,3.32,0.9
"Martell Webster","SG,SF","WSH",350,0.263736263736264,0.75,0.3125,1.4375,0.53125,0.21875,0.03125,0.6875,3.3125,2.84375,2
"Jerome Jordan","C",NA,381,0.531914893617021,0.863636363636364,0,2.38636363636364,0.295454545454545,0.181818181818182,0.340909090909091,0.5,3.13636363636364,2.13636363636364,1
